01.10.2020 0:00,"0","0","406.8323","406.8323","0"
01.10.2020 0:15,"0","0","403.5656","403.5656","0"
01.10.2020 0:30,"0","0","336.7334","336.7334","0"
01.10.2020 0:45,"0","0","306.5291","306.5291","0"
01.10.2020 1:00,"0","0","1397.2651","1397.2651","0"
01.10.2020 1:15,"0","0","267.8035","267.8035","0"
01.10.2020 1:30,"0","0","283.6643","283.6643","0"
01.10.2020 1:45,"0","0","391.3396","391.3396","0"
01.10.2020 2:00,"0","0","408.2694","408.2694","0"
01.10.2020 2:15,"0","0","406.6404","406.6404","0"
01.10.2020 2:30,"0","0","1406.6937","1406.6937","0"
01.10.2020 2:45,"0","0","309.2332","309.2332","0"
01.10.2020 3:00,"0","0","309.0676","309.0676","0"
01.10.2020 3:15,"0","0","308.8026","308.8026","0"
01.10.2020 3:30,"0","0","381.8355","381.8355","0"
01.10.2020 3:45,"0","0","409.8046","409.8046","0"
01.10.2020 4:00,"0","0","406.4778","406.4778","0"
01.10.2020 4:15,"0","0","333.4163","333.4163","0"
01.10.2020 4:30,"0","0","247.7506","247.7506","0"
01.10.2020 4:45,"0","0","289.7263","289.7263","0"
01.10.2020 5:00,"0","0","309.5262","309.5262","0"
01.10.2020 5:15,"0","0","309.623","309.623","0"
01.10.2020 5:30,"0","0","1687.355","1687.355","0"
01.10.2020 5:45,"0","0","655.4341","655.4341","0"
01.10.2020 6:00,"0","0","449.2026","449.2026","0"
01.10.2020 6:15,"0","0","445.5713","445.5713","0"
01.10.2020 6:30,"0","0","840.5066","840.5066","0"
01.10.2020 6:45,"0","0","305.6538","305.6538","0"
01.10.2020 7:00,"0","0","309.9533","309.9533","0"
01.10.2020 7:15,"0","0","288.8285","288.8285","0"
01.10.2020 7:30,"0","0","251.4162","251.4162","0"
01.10.2020 7:45,"0","0","1401.833","1401.833","0"
01.10.2020 8:00,"5.6667","0","1054.6588","1060.3254","5.6667"
01.10.2020 8:15,"17.6667","0","1764.5107","1782.1774","17.6667"
01.10.2020 8:30,"51.3333","0","790.0756","841.4089","51.3333"
01.10.2020 8:45,"55","0","529.7286","584.7286","55"
01.10.2020 9:00,"84.3333","0","496.3128","580.6462","84.3333"
01.10.2020 9:15,"225.2974","18.3693","1350.8158","1576.1132","243.6667"
01.10.2020 9:30,"201","0","190.8185","391.8185","201"
01.10.2020 9:45,"314","0","65.2816","379.2816","314"
01.10.2020 10:00,"299.6667","0","80.6204","380.287","299.6667"
01.10.2020 10:15,"297.3333","0","50.9285","348.2618","297.3333"
01.10.2020 10:30,"277.8208","63.5125","0","277.8208","341.3333"
01.10.2020 10:45,"260.333","106.3336","0","260.333","366.6667"
01.10.2020 11:00,"220.5988","145.7345","0","220.5988","366.3333"
01.10.2020 11:15,"247.4577","64.8757","0","247.4577","312.3333"
01.10.2020 11:30,"378.2665","131.7334","0","378.2665","510"
01.10.2020 11:45,"376.072","221.5947","0","376.072","597.6667"
01.10.2020 12:00,"367.8274","201.8393","0","367.8274","569.6667"
01.10.2020 12:15,"446.5187","203.148","930.3021","1376.8208","649.6667"
01.10.2020 12:30,"268.2656","69.0677","13.5402","281.8058","337.3333"
01.10.2020 12:45,"340.7361","9.264","61.6594","402.3955","350"
01.10.2020 13:00,"326.3333","0","137.8939","464.2273","326.3333"
01.10.2020 13:15,"417.3333","0","83.937","501.2703","417.3333"
01.10.2020 13:30,"467.6667","0","205.4247","673.0914","467.6667"
01.10.2020 13:45,"432","0","192.1772","624.1772","432"
01.10.2020 14:00,"380","0","820.2222","1200.2222","380"
01.10.2020 14:15,"259.3333","0","1154.7649","1414.0983","259.3333"
01.10.2020 14:30,"260.6857","70.981","95.0165","355.7021","331.6667"
01.10.2020 14:45,"286.2126","234.454","0","286.2126","520.6667"
01.10.2020 15:00,"283.2213","99.4454","5.7033","288.9246","382.6667"
01.10.2020 15:15,"202.6667","0","198.4527","401.1194","202.6667"
01.10.2020 15:30,"215","0","206.4171","421.4171","215"
01.10.2020 15:45,"333.3333","0","2282.3594","2615.6926","333.3333"
01.10.2020 16:00,"238.6667","0","2631.9482","2870.615","238.6667"
01.10.2020 16:15,"119.3333","0","1871.7124","1991.0458","119.3333"
01.10.2020 16:30,"0","0","3198.0286","3198.0286","0"
01.10.2020 16:45,"0","0","2003.2581","2003.2581","0"
01.10.2020 17:00,"0","0","2139.6692","2139.6692","0"
01.10.2020 17:15,"0","0","1305.4614","1305.4614","0"
01.10.2020 17:30,"0","0","1269.3663","1269.3663","0"
01.10.2020 17:45,"0","0","2105.4023","2105.4023","0"
01.10.2020 18:00,"0","0","618.1559","618.1559","0"
01.10.2020 18:15,"0","0","2255.677","2255.677","0"
01.10.2020 18:30,"0","0","343.3228","343.3228","0"
01.10.2020 18:45,"0","0","1366.3015","1366.3015","0"
01.10.2020 19:00,"0","0","324.9514","324.9514","0"
01.10.2020 19:15,"0","0","1402.548","1402.548","0"
01.10.2020 19:30,"0","0","644.8749","644.8749","0"
01.10.2020 19:45,"0","0","1605.191","1605.191","0"
01.10.2020 20:00,"0","0","548.3281","548.3281","0"
01.10.2020 20:15,"0","0","501.3069","501.3069","0"
01.10.2020 20:30,"0","0","1465.5765","1465.5765","0"
01.10.2020 20:45,"0","0","391.9572","391.9572","0"
01.10.2020 21:00,"0","0","410.2356","410.2356","0"
01.10.2020 21:15,"0","0","464.0311","464.0311","0"
01.10.2020 21:30,"0","0","558.178","558.178","0"
01.10.2020 21:45,"0","0","568.1274","568.1274","0"
01.10.2020 22:00,"0","0","555.1198","555.1198","0"
01.10.2020 22:15,"0","0","474.8904","474.8904","0"
01.10.2020 22:30,"0","0","1376.0277","1376.0277","0"
01.10.2020 22:45,"0","0","307.6049","307.6049","0"
01.10.2020 23:00,"0","0","309.9417","309.9417","0"
01.10.2020 23:15,"0","0","253.6716","253.6716","0"
01.10.2020 23:30,"0","0","352.239","352.239","0"
01.10.2020 23:45,"0","0","390.3852","390.3852","0"
02.10.2020 0:00,"0","0","1474.0441","1474.0441","0"
02.10.2020 0:15,"0","0","340.9258","340.9258","0"
02.10.2020 0:30,"0","0","308.3358","308.3358","0"
02.10.2020 0:45,"0","0","308.9388","308.9388","0"
02.10.2020 1:00,"0","0","303.4377","303.4377","0"
02.10.2020 1:15,"0","0","337.6923","337.6923","0"
02.10.2020 1:30,"0","0","402.6966","402.6966","0"
02.10.2020 1:45,"0","0","403.5291","403.5291","0"
02.10.2020 2:00,"0","0","405.0101","405.0101","0"
02.10.2020 2:15,"0","0","299.9513","299.9513","0"
02.10.2020 2:30,"0","0","249.6559","249.6559","0"
02.10.2020 2:45,"0","0","290.1659","290.1659","0"
02.10.2020 3:00,"0","0","311.6395","311.6395","0"
02.10.2020 3:15,"0","0","343.522","343.522","0"
02.10.2020 3:30,"0","0","1489.6923","1489.6923","0"
02.10.2020 3:45,"0","0","404.1326","404.1326","0"
02.10.2020 4:00,"0","0","401.0347","401.0347","0"
02.10.2020 4:15,"0","0","338.0751","338.0751","0"
02.10.2020 4:30,"0","0","303.4302","303.4302","0"
02.10.2020 4:45,"0","0","303.7957","303.7957","0"
02.10.2020 5:00,"0","0","245.7677","245.7677","0"
02.10.2020 5:15,"0","0","1311.177","1311.177","0"
02.10.2020 5:30,"0","0","1503.8088","1503.8088","0"
02.10.2020 5:45,"0","0","432.894","432.894","0"
02.10.2020 6:00,"0","0","1505.8525","1505.8525","0"
02.10.2020 6:15,"0","0","1551.2905","1551.2905","0"
02.10.2020 6:30,"0","0","1444.9095","1444.9095","0"
02.10.2020 6:45,"0","0","321.6111","321.6111","0"
02.10.2020 7:00,"7.3333","0","306.0992","313.4326","7.3333"
02.10.2020 7:15,"27.6667","0","273.4463","301.1129","27.6667"
02.10.2020 7:30,"49.3333","0","237.5267","286.86","49.3333"
02.10.2020 7:45,"120.3333","0","226.287","346.6203","120.3333"
02.10.2020 8:00,"385.1391","30.8609","401.8436","786.9828","416"
02.10.2020 8:15,"331.8405","46.1594","1918.8793","2250.7197","378"
02.10.2020 8:30,"300.3333","0","307.1324","607.4657","300.3333"
02.10.2020 8:45,"416.3333","0","375.9125","792.2458","416.3333"
02.10.2020 9:00,"542.3397","154.9937","25.3423","567.6819","697.3333"
02.10.2020 9:15,"663.8529","766.8137","712.4241","1376.2771","1430.6666"
02.10.2020 9:30,"347.7296","941.937","0","347.7296","1289.6666"
02.10.2020 9:45,"376.0908","523.5759","0","376.0908","899.6667"
02.10.2020 10:00,"379.963","329.7037","0","379.963","709.6667"
02.10.2020 10:15,"372.5282","271.1385","0","372.5282","643.6667"
02.10.2020 10:30,"259.8394","849.494","0","259.8394","1109.3334"
02.10.2020 10:45,"215.9585","1092.0415","0","215.9585","1308"
02.10.2020 11:00,"219.8615","1073.4719","0","219.8615","1293.3334"
02.10.2020 11:15,"275.5001","795.1666","0","275.5001","1070.6666"
02.10.2020 11:30,"349.4785","407.8548","0","349.4785","757.3333"
02.10.2020 11:45,"377.6761","294.3239","0","377.6761","672"
02.10.2020 12:00,"382.8828","116.7839","0","382.8828","499.6667"
02.10.2020 12:15,"642.1872","520.8128","204.1385","846.3257","1163"
02.10.2020 12:30,"535.634","1389.6993","0","535.634","1925.3334"
02.10.2020 12:45,"1308.6006","2461.7327","287.1654","1595.766","3770.3333"
02.10.2020 13:00,"1110.9391","1595.0609","0","1110.9391","2706"
02.10.2020 13:15,"561.124","4407.5425","0","561.124","4968.6665"
02.10.2020 13:30,"921.6145","2574.3855","0","921.6145","3496"
02.10.2020 13:45,"1021.8362","3564.1638","0","1021.8362","4586"
02.10.2020 14:00,"1030.2202","3106.1133","0","1030.2202","4136.3335"
02.10.2020 14:15,"620.9338","3477.0662","0","620.9338","4098"
02.10.2020 14:30,"600.1724","3227.4944","0","600.1724","3827.6667"
02.10.2020 14:45,"1562.0547","1855.9453","144.8445","1706.8992","3418"
02.10.2020 15:00,"1065.2485","1957.4182","0","1065.2485","3022.6667"
02.10.2020 15:15,"700.052","2068.2812","0","700.052","2768.3333"
02.10.2020 15:30,"678.9536","1426.3796","0","678.9536","2105.3333"
02.10.2020 15:45,"652.5966","1113.4034","0","652.5966","1766"
02.10.2020 16:00,"631.9526","417.714","0","631.9526","1049.6666"
02.10.2020 16:15,"567.4422","258.8911","0","567.4422","826.3333"
02.10.2020 16:30,"548.1819","201.4847","0","548.1819","749.6667"
02.10.2020 16:45,"506.2011","776.7989","0","506.2011","1283"
02.10.2020 17:00,"512.3415","230.6585","987.9702","1500.3118","743"
02.10.2020 17:15,"367.0953","24.2381","37.0329","404.1282","391.3333"
02.10.2020 17:30,"170.3333","0","238.0708","408.4041","170.3333"
02.10.2020 17:45,"43","0","1441.1792","1484.1792","43"
02.10.2020 18:00,"0","0","391.6558","391.6558","0"
02.10.2020 18:15,"0","0","1380.2255","1380.2255","0"
02.10.2020 18:30,"0","0","320.5914","320.5914","0"
02.10.2020 18:45,"0","0","1381.2366","1381.2366","0"
02.10.2020 19:00,"0","0","306.4157","306.4157","0"
02.10.2020 19:15,"0","0","535.3442","535.3442","0"
02.10.2020 19:30,"0","0","1459.0906","1459.0906","0"
02.10.2020 19:45,"0","0","413.3496","413.3496","0"
02.10.2020 20:00,"0","0","658.7247","658.7247","0"
02.10.2020 20:15,"0","0","645.4539","645.4539","0"
02.10.2020 20:30,"0","0","1135.4796","1135.4796","0"
02.10.2020 20:45,"0","0","2046.2711","2046.2711","0"
02.10.2020 21:00,"0","0","1032.1664","1032.1664","0"
02.10.2020 21:15,"0","0","1796.6418","1796.6418","0"
02.10.2020 21:30,"0","0","547.1613","547.1613","0"
02.10.2020 21:45,"0","0","490.5356","490.5356","0"
02.10.2020 22:00,"0","0","428.3124","428.3124","0"
02.10.2020 22:15,"0","0","393.4077","393.4077","0"
02.10.2020 22:30,"0","0","398.7644","398.7644","0"
02.10.2020 22:45,"0","0","402.9333","402.9333","0"
02.10.2020 23:00,"0","0","437.9915","437.9915","0"
02.10.2020 23:15,"0","0","428.9241","428.9241","0"
02.10.2020 23:30,"0","0","414.6066","414.6066","0"
02.10.2020 23:45,"0","0","309.4562","309.4562","0"
03.10.2020 0:00,"0","0","312.4462","312.4462","0"
03.10.2020 0:15,"0","0","309.1731","309.1731","0"
03.10.2020 0:30,"0","0","306.0493","306.0493","0"
03.10.2020 0:45,"0","0","379.4","379.4","0"
03.10.2020 1:00,"0","0","388.949","388.949","0"
03.10.2020 1:15,"0","0","348.1746","348.1746","0"
03.10.2020 1:30,"0","0","346.4866","346.4866","0"
03.10.2020 1:45,"0","0","312.2048","312.2048","0"
03.10.2020 2:00,"0","0","1413.5464","1413.5464","0"
03.10.2020 2:15,"0","0","308.9933","308.9933","0"
03.10.2020 2:30,"0","0","312.2255","312.2255","0"
03.10.2020 2:45,"0","0","419.6056","419.6056","0"
03.10.2020 3:00,"0","0","426.0817","426.0817","0"
03.10.2020 3:15,"0","0","420.2535","420.2535","0"
03.10.2020 3:30,"0","0","416.4531","416.4531","0"
03.10.2020 3:45,"0","0","536.3763","536.3763","0"
03.10.2020 4:00,"0","0","2086.2783","2086.2783","0"
03.10.2020 4:15,"0","0","421.5888","421.5888","0"
03.10.2020 4:30,"0","0","347.1646","347.1646","0"
03.10.2020 4:45,"0","0","315.6869","315.6869","0"
03.10.2020 5:00,"0","0","309.4099","309.4099","0"
03.10.2020 5:15,"0","0","304.6366","304.6366","0"
03.10.2020 5:30,"0","0","308.0545","308.0545","0"
03.10.2020 5:45,"0","0","383.6812","383.6812","0"
03.10.2020 6:00,"0","0","419.343","419.343","0"
03.10.2020 6:15,"0","0","408.9213","408.9213","0"
03.10.2020 6:30,"0","0","1516.3762","1516.3762","0"
03.10.2020 6:45,"8.6667","0","318.913","327.5797","8.6667"
03.10.2020 7:00,"50.3333","0","197.0805","247.4138","50.3333"
03.10.2020 7:15,"100.3333","0","1222.0576","1322.391","100.3333"
03.10.2020 7:30,"150.6667","0","150.9026","301.5692","150.6667"
03.10.2020 7:45,"182.3333","0","1204.2505","1386.5839","182.3333"
03.10.2020 8:00,"298.6667","0","585.6161","884.2827","298.6667"
03.10.2020 8:15,"568.3333","0","1665.4232","2233.7566","568.3333"
03.10.2020 8:30,"656.5242","147.8091","0","656.5242","804.3333"
03.10.2020 8:45,"764.7739","289.2261","62.0703","826.8442","1054"
03.10.2020 9:00,"1990.6041","267.3959","771.8382","2762.4424","2258"
03.10.2020 9:15,"1160.7838","9.5495","1177.7231","2338.5068","1170.3334"
03.10.2020 9:30,"1039.0995","291.2339","0","1039.0995","1330.3334"
03.10.2020 9:45,"1471.5632","641.1035","556.9554","2028.5186","2112.6667"
03.10.2020 10:00,"623.2239","1058.7761","0","623.2239","1682"
03.10.2020 10:15,"381.7908","846.2092","0","381.7908","1228"
03.10.2020 10:30,"556.996","758.3373","710.9089","1267.9049","1315.3334"
03.10.2020 10:45,"214.5206","1713.146","0","214.5206","1927.6666"
03.10.2020 11:00,"1370.084","3106.2495","0","1370.084","4476.3335"
03.10.2020 11:15,"284.7717","1718.2283","0","284.7717","2003"
03.10.2020 11:30,"369.9294","1171.7372","0","369.9294","1541.6666"
03.10.2020 11:45,"855.4641","963.2026","581.6495","1437.1135","1818.6666"
03.10.2020 12:00,"401.6896","2011.9772","0","401.6896","2413.6667"
03.10.2020 12:15,"380.813","2493.5203","0","380.813","2874.3333"
03.10.2020 12:30,"290.0459","5716.9541","0","290.0459","6007"
03.10.2020 12:45,"1129.2483","1984.085","221.8593","1351.1075","3113.3333"
03.10.2020 13:00,"264.4888","3512.8445","0","264.4888","3777.3333"
03.10.2020 13:15,"247.4026","2821.9307","0","247.4026","3069.3333"
03.10.2020 13:30,"714.6729","533.9937","849.8629","1564.5358","1248.6666"
03.10.2020 13:45,"317.8024","1533.531","0","317.8024","1851.3334"
03.10.2020 14:00,"369.3774","3323.2893","0","369.3774","3692.6667"
03.10.2020 14:15,"371.4287","2249.5713","0","371.4287","2621"
03.10.2020 14:30,"346.7133","1641.2867","0","346.7133","1988"
03.10.2020 14:45,"1508.176","1013.1573","583.0364","2091.2124","2521.3333"
03.10.2020 15:00,"1239.8188","440.8478","0","1239.8188","1680.6666"
03.10.2020 15:15,"584.1494","1570.8506","0","584.1494","2155"
03.10.2020 15:30,"590.7302","1789.603","0","590.7302","2380.3333"
03.10.2020 15:45,"910.676","627.9907","839.5789","1750.2549","1538.6666"
03.10.2020 16:00,"933.6667","0","3247.0757","4180.7422","933.6667"
03.10.2020 16:15,"838.2307","18.7694","1020.8768","1859.1074","857"
03.10.2020 16:30,"801.0118","125.9882","28.8623","829.8741","927"
03.10.2020 16:45,"626.3492","164.6508","0","626.3492","791"
03.10.2020 17:00,"685.7682","15.2318","988.0755","1673.8438","701"
03.10.2020 17:15,"242.6667","0","2072.7498","2315.4165","242.6667"
03.10.2020 17:30,"106.3333","0","2862.0693","2968.4026","106.3333"
03.10.2020 17:45,"3.6667","0","1354.0615","1357.7281","3.6667"
03.10.2020 18:00,"0","0","2362.9385","2362.9385","0"
03.10.2020 18:15,"0","0","2616.6021","2616.6021","0"
03.10.2020 18:30,"0","0","834.186","834.186","0"
03.10.2020 18:45,"0","0","3054.8723","3054.8723","0"
03.10.2020 19:00,"0","0","2588.9812","2588.9812","0"
03.10.2020 19:15,"0","0","3067.0049","3067.0049","0"
03.10.2020 19:30,"0","0","2784.7593","2784.7593","0"
03.10.2020 19:45,"0","0","3080.8579","3080.8579","0"
03.10.2020 20:00,"0","0","4241.1475","4241.1475","0"
03.10.2020 20:15,"0","0","2619.9287","2619.9287","0"
03.10.2020 20:30,"0","0","1466.9331","1466.9331","0"
03.10.2020 20:45,"0","0","1397.5386","1397.5386","0"
03.10.2020 21:00,"0","0","0","0","0"
03.10.2020 21:15,"0","0","274.1756","274.1756","0"
03.10.2020 21:30,"0","0","0","0","0"
03.10.2020 21:45,"0","0","3353.0986","3353.0986","0"
03.10.2020 22:00,"0","0","3657.5415","3657.5415","0"
03.10.2020 22:15,"0","0","2579.6362","2579.6362","0"
03.10.2020 22:30,"0","0","3145.0234","3145.0234","0"
03.10.2020 22:45,"0","0","2512.6167","2512.6167","0"
03.10.2020 23:00,"0","0","2220.2529","2220.2529","0"
03.10.2020 23:15,"0","0","2469.0889","2469.0889","0"
03.10.2020 23:30,"0","0","3691.0078","3691.0078","0"
03.10.2020 23:45,"0","0","1304.785","1304.785","0"
04.10.2020 0:00,"0","0","2250.6272","2250.6272","0"
04.10.2020 0:15,"0","0","2040.6833","2040.6833","0"
04.10.2020 0:30,"0","0","2316.4758","2316.4758","0"
04.10.2020 0:45,"0","0","2296.4597","2296.4597","0"
04.10.2020 1:00,"0","0","714.0845","714.0845","0"
04.10.2020 1:15,"0","0","1787.2438","1787.2438","0"
04.10.2020 1:30,"0","0","706.0814","706.0814","0"
04.10.2020 1:45,"0","0","702.3713","702.3713","0"
04.10.2020 2:00,"0","0","740.6533","740.6533","0"
04.10.2020 2:15,"0","0","799.2077","799.2077","0"
04.10.2020 2:30,"0","0","803.2042","803.2042","0"
04.10.2020 2:45,"0","0","794.7755","794.7755","0"
04.10.2020 3:00,"0","0","795.1915","795.1915","0"
04.10.2020 3:15,"0","0","1476.9077","1476.9077","0"
04.10.2020 3:30,"0","0","2198.9124","2198.9124","0"
04.10.2020 3:45,"0","0","700.6194","700.6194","0"
04.10.2020 4:00,"0","0","705.2492","705.2492","0"
04.10.2020 4:15,"0","0","700.3898","700.3898","0"
04.10.2020 4:30,"0","0","801.5714","801.5714","0"
04.10.2020 4:45,"0","0","800.0701","800.0701","0"
04.10.2020 5:00,"0","0","796.13","796.13","0"
04.10.2020 5:15,"0","0","791.3047","791.3047","0"
04.10.2020 5:30,"0","0","759.4614","759.4614","0"
04.10.2020 5:45,"0","0","699.2758","699.2758","0"
04.10.2020 6:00,"0","0","1385.1715","1385.1715","0"
04.10.2020 6:15,"0","0","3503.4807","3503.4807","0"
04.10.2020 6:30,"0","0","2572.4565","2572.4565","0"
04.10.2020 6:45,"0","0","792.9698","792.9698","0"
04.10.2020 7:00,"2","0","827.3747","829.3747","2"
04.10.2020 7:15,"83","0","3121.8779","3204.8779","83"
04.10.2020 7:30,"297","0","1558.2084","1855.2084","297"
04.10.2020 7:45,"782.2986","187.3681","0","782.2986","969.6667"
04.10.2020 8:00,"424.3333","0","748.1824","1172.5157","424.3333"
04.10.2020 8:15,"486.3904","319.943","1320.7802","1807.1705","806.3333"
04.10.2020 8:30,"313.6667","0","474.795","788.4617","313.6667"
04.10.2020 8:45,"717.862","743.4714","1126.491","1844.353","1461.3334"
04.10.2020 9:00,"1059","0","2513.3115","3572.3115","1059"
04.10.2020 9:15,"880.4092","3660.5908","0","880.4092","4541"
04.10.2020 9:30,"792.6786","88.988","41.0268","833.7054","881.6667"
04.10.2020 9:45,"566.4291","290.5709","208.782","775.2111","857"
04.10.2020 10:00,"1458.8003","2665.1997","0","1458.8003","4124"
04.10.2020 10:15,"407.0332","4068.6333","0","407.0332","4475.6665"
04.10.2020 10:30,"403.4773","3932.5227","0","403.4773","4336"
04.10.2020 10:45,"306.5361","4474.7974","0","306.5361","4781.3335"
04.10.2020 11:00,"1446.5415","3185.125","0","1446.5415","4631.6665"
04.10.2020 11:15,"326.1782","4735.4883","0","326.1782","5061.6665"
04.10.2020 11:30,"499.6611","4472.3389","0","499.6611","4972"
04.10.2020 11:45,"1031.7795","4028.887","0","1031.7795","5060.6665"
04.10.2020 12:00,"1879.2073","3129.1262","0","1879.2073","5008.3335"
04.10.2020 12:15,"1050.8706","4007.4629","0","1050.8706","5058.3335"
04.10.2020 12:30,"2697.1008","2489.8992","0","2697.1008","5187"
04.10.2020 12:45,"2102.6455","2872.3545","0","2102.6455","4975"
04.10.2020 13:00,"3958.4336","873.233","1382.7318","5341.1655","4831.6665"
04.10.2020 13:15,"3325.7549","1369.5785","364.0302","3689.7852","4695.3335"
04.10.2020 13:30,"3008.4756","1550.858","0","3008.4756","4559.3335"
04.10.2020 13:45,"2665.5857","1734.7478","0","2665.5857","4400.3335"
04.10.2020 14:00,"1710.6328","2522.0337","0","1710.6328","4232.6665"
04.10.2020 14:15,"2534.0449","1471.2885","0","2534.0449","4005.3333"
04.10.2020 14:30,"3261.157","534.5098","97.2587","3358.4158","3795.6667"
04.10.2020 14:45,"1252.3293","2281.3374","0","1252.3293","3533.6667"
04.10.2020 15:00,"1935.6948","1323.3052","0","1935.6948","3259"
04.10.2020 15:15,"2880.2285","12.7714","697.0016","3577.23","2893"
04.10.2020 15:30,"1509.495","1304.8383","0","1509.495","2814.3333"
04.10.2020 15:45,"2196.584","449.4161","7.2662","2203.8501","2646"
04.10.2020 16:00,"2085.3694","293.9638","1219.6061","3304.9756","2379.3333"
04.10.2020 16:15,"1320.6519","843.3482","96.7007","1417.3525","2164"
04.10.2020 16:30,"840.9343","1046.0657","0","840.9343","1887"
04.10.2020 16:45,"1284.3696","116.9637","969.1572","2253.5269","1401.3334"
04.10.2020 17:00,"823.3333","0","1298.1138","2121.447","823.3333"
04.10.2020 17:15,"327","0","540.2387","867.2387","327"
04.10.2020 17:30,"217","0","715.4996","932.4996","217"
04.10.2020 17:45,"29","0","1916.5183","1945.5183","29"
04.10.2020 18:00,"0","0","889.8477","889.8477","0"
04.10.2020 18:15,"0","0","1954.2476","1954.2476","0"
04.10.2020 18:30,"0","0","902.1058","902.1058","0"
04.10.2020 18:45,"0","0","1928.7189","1928.7189","0"
04.10.2020 19:00,"0","0","824.1726","824.1726","0"
04.10.2020 19:15,"0","0","1946.9882","1946.9882","0"
04.10.2020 19:30,"0","0","935.7789","935.7789","0"
04.10.2020 19:45,"0","0","2000.77","2000.77","0"
04.10.2020 20:00,"0","0","853.1593","853.1593","0"
04.10.2020 20:15,"0","0","1911.3262","1911.3262","0"
04.10.2020 20:30,"0","0","822.1414","822.1414","0"
04.10.2020 20:45,"0","0","1900.0931","1900.0931","0"
04.10.2020 21:00,"0","0","824.3375","824.3375","0"
04.10.2020 21:15,"0","0","802.0687","802.0687","0"
04.10.2020 21:30,"0","0","906.1713","906.1713","0"
04.10.2020 21:45,"0","0","924.3452","924.3452","0"
04.10.2020 22:00,"0","0","1951.7208","1951.7208","0"
04.10.2020 22:15,"0","0","895.3769","895.3769","0"
04.10.2020 22:30,"0","0","769.9276","769.9276","0"
04.10.2020 22:45,"0","0","285.939","285.939","0"
04.10.2020 23:00,"0","0","278.3859","278.3859","0"
04.10.2020 23:15,"0","0","287.7849","287.7849","0"
04.10.2020 23:30,"0","0","318.4981","318.4981","0"
04.10.2020 23:45,"0","0","387.3282","387.3282","0"
05.10.2020 0:00,"0","0","416.7431","416.7431","0"
05.10.2020 0:15,"0","0","1496.6509","1496.6509","0"
05.10.2020 0:30,"0","0","413.6201","413.6201","0"
05.10.2020 0:45,"0","0","377.5523","377.5523","0"
05.10.2020 1:00,"0","0","314.7725","314.7725","0"
05.10.2020 1:15,"0","0","317.5999","317.5999","0"
05.10.2020 1:30,"0","0","315.4041","315.4041","0"
05.10.2020 1:45,"0","0","316.8966","316.8966","0"
05.10.2020 2:00,"0","0","420.1744","420.1744","0"
05.10.2020 2:15,"0","0","354.4215","354.4215","0"
05.10.2020 2:30,"0","0","354.0508","354.0508","0"
05.10.2020 2:45,"0","0","392.9894","392.9894","0"
05.10.2020 3:00,"0","0","348.938","348.938","0"
05.10.2020 3:15,"0","0","1405.4066","1405.4066","0"
05.10.2020 3:30,"0","0","312.8703","312.8703","0"
05.10.2020 3:45,"0","0","311.0575","311.0575","0"
05.10.2020 4:00,"0","0","349.7379","349.7379","0"
